 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
109,2i2c,DR109,-6.41,0,-3.45,C20H24N10O6S2,564.13,20,5399,606.67,237.18,369.49,6,16,7,62,24,38,53.44,6,0,0,0.95,165.6,67,31399,232,28.29,6,7135,67,-0.17,-0.01,-0.03,-0.01,-0.02,0,-18100,-0.32
110,2i2e,DR110,-6,0,-8.99,C20H27N10O16P3,756.08,20,10498,785.94,364.83,421.11,9,24,12,76,27,49,62.99,6,0,0,0.93,238.14,81,69348,278,34.6,6,12962,83,-0.12,-0.01,-0.02,-0.01,-0.01,0,-5860000000,-0.3
111,2i4j,DR111,-8.41,0,5.72,C27H36N2O4,452.27,27,3755,640.38,81.71,558.67,1,6,13,69,36,33,50.77,1,2,12,1.32,127.96,71,19693,254,30.19,3,4834,48,-0.25,-0.02,-0.1,-0.01,-0.02,0,-0.000016,-0.31
112,2i4w,DR112,-15.8,0,2.44,C33H49N2O12PS,728.27,33,10137,941.6,184.9,756.7,2,14,19,98,49,49,73.39,2,2,12,1.35,231.2,101,61625,370,42.51,4,12473,75,-0.32,-0.02,-0.09,-0.02,-0.02,0,-0.06,-0.48
113,2i4z,DR113,-7.78,0,5.72,C27H36N2O4,452.27,27,3755,641.07,81.71,559.36,1,6,13,69,36,33,50.77,1,2,12,1.32,127.96,71,19693,254,30.19,3,4834,48,-0.24,-0.02,-0.1,-0.01,-0.01,0,-0.0000148,-0.29
114,2iuz,DR114,-7.57,0,-4.63,C16H18N8O4,386.15,16,1944,476.17,123.64,352.53,0,6,3,46,18,28,36.18,4,0,0,1.42,113.28,49,7462,172,20.41,4,2946,55,-0.27,-0.02,-0.06,-0.02,-0.02,0,-323000,-0.47
115,2j4k,DR115,-6.62,0,-4.15,C9H13N2O9P,324.04,9,948,330.07,175.67,154.4,5,11,4,34,13,21,26.17,2,0,0,1.87,70.66,35,3279,120,15.33,2,1263,31,-0.32,-0.02,-0.04,-0.02,-0.04,-0.01,-93500,-0.74
116,2j7d,DR116,-9.73,0,-3.4,C10H16N2O6,260.1,10,556,314.45,128.2,186.25,5,7,3,34,16,18,23.33,2,0,0,2.04,58.6,35,1542,122,15.27,2,814,32,-0.54,-0.04,-0.08,-0.03,-0.05,-0.02,-24400,-0.97
117,2j7f,DR117,-8.66,0,-5.19,C9H12N2O6,244.07,9,465,274.63,136.04,138.59,5,7,2,29,12,17,21.15,2,0,0,2.19,54.26,30,1214,102,13.24,2,699,30,-0.51,-0.04,-0.06,-0.03,-0.06,-0.02,-1340000,-0.96
118,2j7g,DR118,-9.55,0,-3.21,C10H14N2O6,258.09,10,569,299.64,136.04,163.6,5,7,3,32,14,18,22.87,2,0,0,2,58.12,33,1624,114,14.48,2,827,30,-0.53,-0.04,-0.07,-0.03,-0.06,-0.02,-15500,-0.95
119,2jh5,DR119,-8.78,0,-0.53,C17H22ClN3O5S2,447.07,17,2289,501.15,141.31,359.84,1,10,5,50,22,28,42.78,2,1,5,1.37,104.48,52,10574,190,21.82,3,2758,40,-0.31,-0.02,-0.06,-0.02,-0.02,0,-29.8,-0.52
120,2nsj,DR120,-6.53,0,-6,C9H14N3O9P,339.05,9,1077,365.75,181.38,184.37,6,11,5,36,14,22,27.48,2,0,0,1.81,75.78,37,3839,124,16.35,2,1263,33,-0.3,-0.02,-0.04,-0.02,-0.04,-0.01,-6530000,-0.73
121,2o1c,DR121,-6.44,0,-3.48,H4O7P2,177.94,0,88,178.09,143.91,34.18,4,7,2,13,4,9,11.56,0,0,0,3.75,18.75,12,173,34,5.95,0,88,6,-0.72,-0.04,-0.04,-0.04,-0.19,-0.07,-19400,0
122,2o2u,DR122,-8.73,0,3.03,C16H13FN2OS,300.07,16,925,346.77,81.13,265.64,1,5,3,34,13,21,29.75,1,2,11,1.39,71.72,36,3093,124,15.3,3,1314,33,-0.42,-0.03,-0.11,-0.03,-0.03,-0.01,-0.01,-0.55
123,2o4j,DR123,-13.77,0,2.88,C27H42O3,414.31,27,2717,588.17,60.69,527.48,3,3,5,72,42,30,49.18,3,0,0,1.54,116.88,74,12917,282,31.04,3,3798,49,-0.46,-0.03,-0.23,-0.02,-0.03,-0.01,-0.02,-0.51
124,2o4k,DR124,-14.26,0,4.55,C38H52N6O7,704.39,38,10532,971.67,145.48,826.19,5,13,18,103,52,51,77.42,1,2,12,1.79,248.27,105,59701,368,45.21,3,12530,77,-0.28,-0.02,-0.1,-0.01,-0.02,0,0,-0.38
125,2o4r,DR125,-12.82,0,2.88,C27H42O3,414.31,27,2717,587.96,60.69,527.27,3,3,5,72,42,30,49.18,3,0,0,1.54,116.88,74,12917,282,31.04,3,3798,49,-0.43,-0.03,-0.21,-0.02,-0.02,0,-0.02,-0.47
126,2o8h,DR126,-10.37,0,-0.05,C24H29N5O4S,483.19,24,3364,613.81,127.53,486.28,0,9,4,63,29,34,52.62,3,2,12,1.24,148.74,67,14958,242,27.71,5,6060,64,-0.31,-0.02,-0.08,-0.02,-0.02,0,-11.6,-0.43
127,2oag,DR127,-11.55,0,2.4,C21H19F3N4O2S,448.12,21,2828,514.95,81.89,433.06,1,9,4,50,19,31,43.76,2,2,12,1.2,125.84,53,12970,184,22.42,4,4407,52,-0.37,-0.03,-0.14,-0.02,-0.03,0,-0.05,-0.55
128,2oi2,DR128,-8.6,0,-3.31,C6H14O10P2,308.01,6,693,350.32,190.44,159.88,5,10,8,32,14,18,24.02,0,0,0,4.1,52.33,31,2419,104,14.14,0,693,19,-0.48,-0.03,-0.05,-0.02,-0.05,-0.01,-17500,-1.43
129,2ov4,DR129,-6.47,0,-7.86,C10H17N5O16P4,586.96,10,4121,589.29,338.88,250.41,8,20,10,52,17,35,44.8,3,0,0,1.51,146.66,54,21457,180,23.67,3,4899,54,-0.18,-0.01,-0.02,-0.01,-0.03,0,-469000000,-0.65
130,2oxd,DR130,-9.31,0,3.68,C7H2Br4N2O,445.69,7,262,262.68,45.35,217.33,2,3,0,16,2,14,26.53,1,1,6,2.19,41.13,17,585,54,7.37,2,425,24,-0.66,-0.02,-0.21,-0.04,-0.04,-0.04,0,-1.33
131,2oxx,DR131,-9.14,0,3.93,C7H2Br4N2S,461.67,7,262,272.66,60.37,212.29,2,3,0,16,2,14,29.3,1,1,6,2.19,41.13,17,585,54,7.37,2,425,24,-0.65,-0.02,-0.15,-0.03,-0.04,-0.03,0,-1.31
132,2oxy,DR132,-8.9,0,4.03,C7H2Br4N2,429.7,7,211,247.88,28.68,219.2,1,1,0,15,2,13,26.78,1,1,6,1.87,36.83,16,444,50,6.95,2,352,22,-0.68,-0.02,-0.31,-0.04,-0.04,-0.04,0,-1.27
133,2oyk,DR133,-7.23,0,-3.74,C12H23NO8,309.14,12,894,378.29,139.84,238.45,7,9,4,44,23,21,28.29,2,0,0,1.96,71.7,45,2846,166,19.43,2,1374,36,-0.34,-0.02,-0.05,-0.02,-0.03,-0.01,-39700,-0.6
134,2p2a,DR134,-8.36,0,-4.37,C14H14N6O4,330.11,14,1446,374.12,118.18,255.94,3,9,6,38,14,24,31.37,2,1,6,1.4,84.4,40,5778,130,17.37,3,1817,33,-0.35,-0.03,-0.07,-0.02,-0.03,-0.01,-196000,-0.6
135,2p3b,DR135,-11.57,0,5.54,C50H64N6O10,908.47,50,23427,1201.5,161.34,1040.16,8,16,25,130,64,66,97.45,0,4,24,1.35,345.51,133,181990,464,57.41,4,25695,98,-0.18,-0.01,-0.07,-0.01,-0.01,0,-0.0000334,-0.23
136,2p4y,DR136,-12.28,0,6.73,C28H22ClF3N2O6,574.11,28,5277,658.75,95.95,562.8,1,10,8,62,22,40,56.29,0,5,24,1.27,184.76,66,25670,222,27.97,5,7918,68,-0.31,-0.02,-0.13,-0.02,-0.02,0,-0.00000229,-0.44
137,2pq9,DR137,-11.06,0,-4.42,C10H14F2O14P2,457.98,10,1875,445.93,257.2,188.73,7,16,9,42,14,28,32.73,1,0,0,3.23,110.31,42,6685,140,18.92,1,2365,45,-0.4,-0.02,-0.04,-0.02,-0.06,-0.01,-291000,-1.11
138,2pu1,DR138,-7.99,0,-2.64,C2H5FNO5P,172.99,2,118,177.75,116.67,61.08,4,7,2,15,5,10,11.48,0,0,0,3.94,22.1,14,245,42,6.76,0,118,12,-0.8,-0.05,-0.07,-0.04,-0.13,-0.07,-3490,-3.99
139,2q8z,DR139,-7.75,0,-4.12,C9H14N3O9P,339.05,9,1051,352.71,199.52,153.19,6,12,4,36,14,22,27.2,2,0,0,1.85,76.45,37,3640,128,16.2,2,1401,34,-0.35,-0.02,-0.04,-0.02,-0.05,-0.01,-102000,-0.86
140,2qbq,DR140,-10.15,0,5.97,C23H28BrNO5S,509.09,23,2818,586.9,112.07,474.83,3,7,7,59,28,31,49.46,1,2,11,1.57,124.4,61,12726,218,26.01,3,4002,48,-0.33,-0.02,-0.09,-0.02,-0.02,0,-0.0000109,-0.44
141,2qnn,DR141,-9.76,0,3,C34H31F6N5O6S2,783.16,34,10875,867.44,146.36,721.08,3,17,12,84,31,53,71.62,1,4,24,1.36,277.51,88,59505,306,37.4,5,14600,93,-0.18,-0.01,-0.07,-0.01,-0.01,0,-0.01,-0.29
142,2qnp,DR142,-8.74,0,5.52,C30H29I2N3O4S2,812.97,30,5195,753.83,112.22,641.61,1,7,8,70,29,41,72.97,1,4,24,1.34,195.71,74,23022,258,31.34,5,6844,69,-0.21,-0.01,-0.08,-0.01,-0.01,0,-0.0000264,-0.29
143,2qpu,DR143,-4.91,0,-4.09,C19H35NO12,469.22,19,2939,566.81,209.76,357.05,10,13,5,67,35,32,43.14,3,0,0,1.59,133.49,69,13023,258,29.57,3,4555,62,-0.15,-0.01,-0.02,-0.01,-0.01,0,-60500,-0.26
144,2qv4,DR144,-3.46,0,-8.78,C31H53NO23,807.3,31,13968,920.64,388.29,532.35,17,24,12,108,53,55,71.2,5,0,0,1.12,283.57,112,97732,412,48.1,5,21758,109,-0.06,0,-0.01,0,-0.01,0,-2090000000,-0.11
