 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
193,3d83,DR193,-11.4,0,3.71,C28H30N4O3,470.23,28,4403,611.52,69.85,541.67,2,7,7,65,30,35,53.48,3,2,12,0.99,142.56,69,24695,244,28.93,5,6741,54,-0.33,-0.02,-0.16,-0.02,-0.02,0,0,-0.41
194,3d94,DR194,-9.28,0,3.79,C30H31N7,489.26,30,4583,631.19,70.26,560.93,1,7,4,68,31,37,61.18,5,2,12,0.93,163.91,74,23551,264,30.55,7,8096,64,-0.25,-0.02,-0.13,-0.01,-0.02,0,0,-0.31
195,3dd8,DR195,-10.71,0,3.68,C16H21NO5S2,371.09,16,1364,434.73,94.27,340.46,1,6,4,45,21,24,38.22,2,1,6,1.49,87.22,47,5171,176,19.55,3,1906,39,-0.45,-0.03,-0.11,-0.02,-0.03,-0.01,0,-0.67
196,3ddf,DR196,-6.35,0,-0.71,C13H18N2O4,266.13,13,754,338.8,77.76,261.04,5,6,5,37,18,19,27.26,1,1,6,1.61,59.4,38,2544,132,16.58,2,954,27,-0.33,-0.02,-0.08,-0.02,-0.02,-0.01,-32.6,-0.49
197,3ddg,DR197,-8.18,0,-0.57,C14H20N2O4,280.14,14,846,366.62,91.35,275.27,4,6,5,40,20,20,29.09,1,1,6,1.86,64.81,41,2863,144,17.79,2,1059,31,-0.41,-0.03,-0.09,-0.02,-0.03,-0.01,-30.4,-0.58
198,3djk,DR198,-14.44,0,2.46,C27H38N2O8S,550.23,27,4846,722.41,130.33,592.08,2,10,12,76,38,38,57.48,1,2,12,1.68,163.18,78,23746,280,33.16,3,5863,59,-0.38,-0.03,-0.11,-0.02,-0.02,0,-0.05,-0.53
199,3e5a,DR199,-11.23,0,1.37,C23H28N8OS,464.21,23,3554,588.66,124.01,464.65,3,9,7,61,28,33,49.7,4,1,6,1.1,132.35,65,17644,230,27.14,5,5370,47,-0.34,-0.02,-0.09,-0.02,-0.02,0,-0.48,-0.49
200,3e5u,DR200,-7.99,0,1.67,C8H7ClO3,186.01,8,205,212.32,57.53,154.79,2,4,2,19,7,12,17.54,0,1,6,2.3,29.69,19,510,58,8.69,1,307,14,-0.67,-0.04,-0.14,-0.04,-0.05,-0.04,-0.17,-1
201,3E+64,DR201,-9.7,0,3.01,C17H20N4O2S,344.13,17,1429,444.98,71.2,373.78,3,5,3,44,20,24,40.13,1,2,12,1.4,86.3,46,5744,158,19.62,3,2217,37,-0.4,-0.03,-0.14,-0.02,-0.03,-0.01,-0.01,-0.57
202,3e8r,DR202,-13.29,0,3.21,C28H25N3O4,467.18,28,4261,583.74,88.52,495.22,3,7,8,60,25,35,53.66,2,3,18,1.02,144.94,64,22908,216,27.32,5,6581,57,-0.38,-0.03,-0.15,-0.02,-0.03,0,-0.01,-0.47
